"","price","yearOfRegistration","powerPS","monthOfRegistration","brand","sold"
"2",2400,2001,128,5,"suzuki","0"
"3",700,1983,72,1,"mercedes_benz","0"
"4",2222,2016,150,8,"audi","0"
"5",1350,2000,118,4,"volkswagen","0"
"6",1000,1997,116,1,"nissan","0"
"7",2050,2002,116,11,"bmw","0"
"8",800,1997,50,10,"volkswagen","0"
"9",1,1999,115,6,"ford","0"
"10",2099,1997,165,11,"audi","0"
"11",1900,1999,165,2,"audi","0"
"12",10950,2008,143,3,"audi","0"
"13",6750,1999,102,10,"volkswagen","0"
"14",550,1999,60,9,"fiat","0"
"16",6666,2004,150,9,"mercedes_benz","0"
"17",2200,2003,68,2,"volkswagen","0"
"22",5200,2002,170,10,"mercedes_benz","0"
"23",2600,2005,69,0,"volkswagen","0"
"25",2350,2005,105,2,"kia","0"
"26",4800,2004,192,7,"mazda","0"
"28",1850,2004,60,7,"opel","0"
"30",400,1993,150,6,"audi","0"
"31",2999,2007,68,12,"citroen","0"
"33",850,2001,60,11,"ford","0"
"34",1950,1997,116,8,"bmw","0"
"35",4900,2007,90,11,"opel","0"
"36",1999,2006,109,7,"peugeot","0"
"38",0,2018,193,0,"mercedes_benz","0"
"39",8699,2017,80,0,"volkswagen","0"
"40",1000,1999,193,6,"volvo","0"
"41",799,2002,60,4,"fiat","0"
"42",3900,1990,98,5,"volkswagen","0"
"43",2100,2002,188,0,"audi","0"
"44",4980,2006,115,11,"audi","0"
"45",1800,2000,110,2,"volkswagen","0"
"47",250,1995,75,7,"honda","0"
"48",3900,2010,150,2,"opel","0"
"49",11200,2006,150,3,"bmw","0"
"50",1300,2001,60,12,"volkswagen","0"
"51",2999,2002,155,2,"audi","0"
"53",8500,2012,87,12,"opel","0"
"55",999,1999,193,6,"bmw","0"
"57",12950,2011,170,3,"volkswagen","0"
"58",1590,2002,59,5,"opel","0"
"59",2900,2004,163,8,"volvo","0"
"60",6000,2007,170,3,"audi","0"
"61",4200,2005,131,11,"skoda","0"
"62",2200,1999,75,1,"volkswagen","0"
"63",100,1999,115,0,"opel","0"
